斥档,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公
,窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚)
1989,1989-10-27,2老,搬螟,—,1989-10-16,-10老,搬螟,—
1990,1990-11-02,8老,搬螟,—,1990-10-24,-2老,搬螟,—
1991,1991-11-01,7老,搬螟,—,1991-10-22,-4老,搬螟,—
1992,1992-11-01,7老,搬螟,—,1992-10-25,-1老,搬螟,—
1993,1993-10-20,-5老,搬螟,—,1993-10-10,-16老,搬螟,—
1994,1994-10-16,-9老,1994-10-31,-3老,1994-10-15,-11老,1994-10-29,-7老
1995,1995-10-21,-4老,1995-11-06,3老,1995-10-23,-3老,1995-11-04,-1老
1996,1996-10-19,-6老,1996-10-28,-6老,1996-10-17,-9老,1996-10-28,-8老
1997,1997-10-12,-13老,1997-10-22,-12老,1997-10-15,-11老,1997-10-23,-13老
1998,1998-10-28,3老,1998-11-03,0老,1998-10-28,2老,1998-11-03,-2老
1999,1999-11-04,10老,1999-11-11,8老,1999-11-02,7老,1999-11-09,4老
2000,2000-10-29,4老,2000-11-06,3老,2000-10-26,0老,2000-11-04,-1老
2001,2001-10-29,4老,2001-11-08,5老,2001-10-29,3老,2001-11-06,1老
2002,2002-10-23,-2老,2002-10-31,-3老,2002-10-23,-3老,2002-10-31,-5老
2003,2003-10-26,1老,2003-10-30,-4老,2003-10-24,-2老,2003-10-29,-7老
2004,2004-10-25,0老,2004-11-02,-1老,2004-10-25,-1老,2004-11-02,-3老
2005,2005-10-22,-3老,2005-10-31,-3老,2005-10-23,-3老,2005-10-30,-6老
2006,2006-10-24,-1老,2006-11-10,7老,2006-10-26,0老,2006-11-12,7老
2007,2007-10-27,2老,2007-11-02,-1老,2007-10-29,3老,2007-11-04,-1老
2008,2008-10-15,-10老,2008-11-06,3老,2008-10-31,5老,2008-11-07,2老
2009,2009-10-23,-2老,2009-10-30,-4老,2009-10-24,-2老,2009-10-31,-5老
2010,2010-10-25,0老,2010-11-05,2老,2010-11-01,6老,2010-11-09,4老
2011,2011-10-25,0老,2011-11-03,0老,2011-10-30,4老,2011-11-12,7老
2012,2012-10-26,1老,2012-11-03,0老,2012-10-26,0老,2012-11-03,-2老
2013,2013-11-01,7老,2013-11-08,5老,2013-11-01,6老,2013-11-08,3老
2014,2014-11-05,11老,2014-11-13,10老,2014-11-05,10老,2014-11-13,8老
2015,2015-10-24,-1老,2015-11-05,2老,2015-10-24,-2老,2015-11-05,0老
2016,2016-10-20,-5老,2016-10-27,-7老,2016-10-27,1老,2016-11-01,-4老
2017,2017-10-24,-1老,2017-10-30,-4老,2017-10-25,-1老,2017-11-06,1老
2018,2018-10-19,-6老,2018-10-27,-7老,2018-10-20,-6老,2018-11-05,0老
2019,2019-10-23,-2老,2019-11-09,6老,2019-10-24,-2老,2019-11-15,10老
