language,word,difficulty,category
en,apple,1,food
en,banana,1,food
en,orange,1,food
en,grape,1,food
en,melon,1,food
en,bread,1,food
en,water,1,food
en,milk,1,food
en,rice,1,food
en,cookie,1,food
en,pizza,1,food
en,salad,1,food
en,juice,1,food
en,coffee,1,food
en,soup,1,food
en,school,1,place
en,house,1,place
en,room,1,place
en,park,1,place
en,store,1,place
en,street,1,place
en,beach,1,place
en,garden,1,place
en,office,1,place
en,kitchen,1,place
en,book,1,object
en,desk,1,object
en,chair,1,object
en,pencil,1,object
en,phone,1,object
en,clock,1,object
en,window,1,object
en,door,1,object
en,bag,1,object
en,cup,1,object
en,shirt,1,object
en,shoes,1,object
en,table,1,object
en,paper,1,object
en,photo,1,object
en,dog,1,animal
en,cat,1,animal
en,bird,1,animal
en,fish,1,animal
en,rabbit,1,animal
en,horse,1,animal
en,tiger,1,animal
en,bear,1,animal
en,monkey,1,animal
en,panda,1,animal
en,sun,1,nature
en,moon,1,nature
en,star,1,nature
en,cloud,1,nature
en,rain,1,nature
en,snow,1,nature
en,tree,1,nature
en,flower,1,nature
en,river,1,nature
en,sky,1,nature
en,keyboard,2,computer
en,monitor,2,computer
en,browser,2,computer
en,program,2,computer
en,network,2,computer
en,database,2,computer
en,message,2,communication
en,meeting,2,work
en,project,2,work
en,schedule,2,work
en,manager,2,work
en,customer,2,work
en,library,2,place
en,station,2,place
en,airport,2,place
en,hospital,2,place
en,restaurant,2,place
en,market,2,place
en,exercise,2,health
en,medicine,2,health
en,healthy,2,health
en,weather,2,nature
en,season,2,nature
en,mountain,2,nature
en,problem,2,study
en,answer,2,study
en,practice,2,study
en,history,2,study
en,science,2,study
en,language,2,study
en,morning,2,time
en,evening,2,time
en,holiday,2,time
en,weekend,2,time
en,family,2,people
en,friend,2,people
en,teacher,2,people
en,student,2,people
en,driver,2,people
en,doctor,2,people
en,picture,2,media
en,camera,2,media
en,music,2,media
en,movie,2,media
en,ticket,2,media
en,travel,2,activity
en,swimming,2,activity
en,running,2,activity
en,shopping,2,activity
en,cooking,2,activity
en,charge,2,mobility
en,parking,2,mobility
en,battery,2,mobility
en,vehicle,2,mobility
en,charger,2,mobility
en,payment,2,business
en,invoice,2,business
en,service,2,business
en,support,2,business
en,update,2,business
en,account,2,business
en,receipt,2,business
en,member,2,business
en,notice,2,business
en,contact,2,business
en,download,2,computer
en,upload,2,computer
en,folder,2,computer
en,setting,2,computer
en,password,2,computer
en,calendar,2,work
en,document,2,work
en,contract,2,work
en,delivery,2,work
en,request,2,work
en,traffic,2,mobility
en,subway,2,mobility
en,bicycle,2,mobility
en,highway,2,mobility
en,terminal,2,mobility
en,culture,2,society
en,concert,2,media
en,stadium,2,place
en,festival,2,activity
en,training,2,study
en,lesson,2,study
en,example,2,study
en,chapter,2,study
en,keyword,2,study
en,summary,2,study
en,algorithm,3,programming
en,function,3,programming
en,variable,3,programming
en,interface,3,programming
en,component,3,programming
en,framework,3,programming
en,debugging,3,programming
en,frontend,3,programming
en,backend,3,programming
en,deployment,3,programming
en,authentication,3,security
en,encryption,3,security
en,permission,3,security
en,firewall,3,security
en,malware,3,security
en,transaction,3,business
en,operation,3,business
en,partnership,3,business
en,settlement,3,business
en,promotion,3,business
en,analytics,3,data
en,visualization,3,data
en,prediction,3,data
en,dashboard,3,data
en,clustering,3,data
en,architecture,3,technology
en,infrastructure,3,technology
en,automation,3,technology
en,integration,3,technology
en,migration,3,technology
en,sustainability,3,society
en,innovation,3,society
en,regulation,3,policy
en,compliance,3,policy
en,certification,3,policy
en,navigation,3,service
en,electricity,3,energy
en,renewable,3,energy
en,capacity,3,energy
en,efficiency,3,energy
en,interoperability,4,technology
en,containerization,4,programming
en,authorization,4,security
en,observability,4,technology
en,standardization,4,business
en,optimization,4,data
en,transformation,4,business
en,electromobility,4,mobility
en,decarbonization,4,energy
en,differentiation,4,marketing
ko,집,1,장소
ko,물,1,음식
ko,밥,1,음식
ko,책,1,물건
ko,달,1,자연
ko,꽃,1,자연
ko,사과,1,음식
ko,바나나,1,음식
ko,오렌지,1,음식
ko,포도,1,음식
ko,수박,1,음식
ko,빵집,1,장소
ko,학교,1,장소
ko,공원,1,장소
ko,교실,1,장소
ko,시장,1,장소
ko,가게,1,장소
ko,바다,1,장소
ko,정원,1,장소
ko,회사,1,장소
ko,부엌,1,장소
ko,책상,1,물건
ko,의자,1,물건
ko,연필,1,물건
ko,가방,1,물건
ko,시계,1,물건
ko,창문,1,물건
ko,문구,1,물건
ko,컵잔,1,물건
ko,신발,1,물건
ko,사진,1,물건
ko,강아지,1,동물
ko,고양이,1,동물
ko,토끼,1,동물
ko,새우,1,동물
ko,호랑이,1,동물
ko,곰돌이,1,동물
ko,원숭이,1,동물
ko,판다,1,동물
ko,물고기,1,동물
ko,구름,1,자연
ko,하늘,1,자연
ko,나무,1,자연
ko,비누,1,물건
ko,눈사람,1,자연
ko,기쁨,1,감정
ko,웃음,1,감정
ko,잠자기,1,행동
ko,걷기,1,행동
ko,쓰기,1,행동
ko,읽기,1,행동
ko,노래,1,취미
ko,운동,1,건강
ko,친구,1,사람
ko,가족,1,사람
ko,아침,1,시간
ko,저녁,1,시간
ko,주말,1,시간
ko,여행,1,활동
ko,영화,1,취미
ko,키보드,2,컴퓨터
ko,모니터,2,컴퓨터
ko,브라우저,2,컴퓨터
ko,프로그램,2,컴퓨터
ko,네트워크,2,컴퓨터
ko,데이터베이스,2,컴퓨터
ko,메시지,2,소통
ko,회의,2,업무
ko,프로젝트,2,업무
ko,일정표,2,업무
ko,관리자,2,업무
ko,고객님,2,업무
ko,도서관,2,장소
ko,기차역,2,장소
ko,공항역,2,장소
ko,병원비,2,건강
